"",,No. and percentage of females,
"",Total (A),Number (B),Percentage of females % (B/A)
Board of Directors,6,3,50%
Key Management Personnel,3,0,0
"",FY 2021,FY 2020,FY 2019
"",(Turnover rate in current FY),(Turnover rate in previous FY),(Turnover rate in the year prior to the
"",,,previous FY)
Permanent employees,Male Female,Male Female,Male Female
Regular management,2596 232,2604 239,2700 218
Resignation,183 29,146 19,207 30
%,7.05% 12.50%,5.61% 7.95%,7.67% 13.76%
"",FY 2021,FY 2020,FY 2019
"",(Turnover rate in current FY),(Turnover rate in previous FY),(Turnover rate in the year prior to the
"",,,previous FY)
"",Male Female Total,Male Female Total,Male Female Total
Permanent workers*,0 0 0,0 0 0,0 00
Stakeholder,Grievance,FY 2021,,FY 2020,
group from,Redressal,Current financial year,,Previous financial year,
whom,Mechanism in place,,,,
complaint is,"(Yes/No) (if yes,",Number of Number of,Remarks,Number of Number of,Remarks
received,then provide,complaints complaints,,complaints complaints,
"",web-link for,filed during pending,,filed during pending,
"",grievance redress,the year resolution at,,the year resolution at,
"",policy),close of the year,,close of the,
"",,,,year,
Communities,,,,,
Investors,,,,,Nil
(other than,,,,,
shareholders),,,,,
Shareholders,,151 0,,67 0,
Employees,Yes. The grievance,31 10,Grievances,24 4,Grievances
and Workers,redressal,,are addressed,,are addressed
(includes,mechanism,,with mutual,,with mutual
former,consists of,,discussion in an,,discussion in an
employees),immediate,,informal way,,informal way
"","reporting manager,",,,,
"",representatives,,,,
"",of recognized,,,,
"","Union, Dedicated",,,,
"",Industrial Relations,,,,
"","Managers, Welfare",,,,
"",officers and HR,,,,
"",Business Partners,,,,
"",at each factory,,,,
"",locations.,,,,
Customers,Yes,4086 399,Percentage,3622 138,Percentage
"",,,of customer,,of customer
"",,,complaints,,complaints
"",,,which are,,which are
"",,,open in the,,open in the
"",,,CCRP system,,CCRP system
"",,,and awaiting,,and awaiting
"",,,completion as,,completion as
"",,,at the end of the,,at the end of
"",,,year (as on 31st,,the year (as on
"",,,December of,,31st December
"",,,2021) is 0.34%,,2020): 0.18%
Value Chain,,4 1,,4 1,
Partners,,,,,
Others*,,14 6,,12 6,
1,Stakeholder,Opportunity,Opportunity to engage,and,seek,,,Have stakeholder,engagement,,Positive
"",engagement,,stakeholder inputs,to integrate,,not,,process set that is,followed. The,,
"",,,business practices as appropriate,,,,,company has a continual stakeholder,,,
"",,,,,,,,engagement process,,,
2,,Opportunity,Opportunity to move towards  energy,,,,,Several initiatives are,underway,,Positive
"",Carbon,,"efficiency, fuel switching,",combined,,,,internally to focus,on carbon,,
"",reduction,,"heat and power, use",of renewable,,,,reduction and address,efficiency,,
"",,,"energy, and the more efficient use and",,,,,and overall reduce emissions,and,,
"",,,recycling of materials,and address,,,,address climate change,,,
"",,,climate change,,,,,,,,
3,Products,Opportunity,Opportunity towards,improving,,,,Internalized with R&D and all aspects,,,Positive
"",Solutions and,,products and services,and,from,,,of product and service management,,,
"",Services,,the sustainability,"aspects, address",,,,aspects,,,
"",,,aspects of resource,"conservation,",,,,,,,
"",,,energy and climate change aspects,,,,,,,,
4,Operations-,Opportunity,Opportunity to bring,in resource,,,,All environmental compliances,are,,Positive
"",environment,,conservation and reduced costs along,,,,,met through a compliance,tool,,
"",,,with mitigating negative,impacts,,of,,and operational,improvements,,
"",,,non-compliances,,,,,undertaken to address key KPI under,,,
"",,,,,,,,environment,,,
5,Circular,Opportunity,"Opportunity, circular",economy,,can,,Addressing circular economic cases,,,Positive
"",economy,,bring opportunities,and positive,,,,that can aid the Company and have,,,
"",,,impacts across,industry.,Make,,,resource conservation,and multi,,
"",,,"better use of finite resources, reduce",,,,,stakeholder co-ordination to achieve,,,
"",,,"emissions, Protect human health and",,,,,sustainable impacts,,,
"",,,biodiversity and Boost,economies.,,,,,,,
"",,,Create more and better jobs.,,,,,,,,
6,Responsible,Risk,To positively manage,responsible,,,,Has programs and,practices to,,Negative
"",Sourcing,,"sourcing, across the supply chain and",,,,,review and handhold,suppliers to,,
"",,,to seek voluntary commitment by on,,,,,adhere to sustainable practices and,,,
"",,,account social and,environmental,,,,bring supply chain,sustainability,,
"",,,considerations including,aspects,,of,,into mainstream,,,
"",,,"child, forced and bonded labour when",,,,,,,,
"",,,managing their relationships,,with,,,,,,
